Date,Price,Open,High,Low,Vol.,Change %
"Feb 03, 2020",780,674.5,785,674.44,47.23M,19.89%
"Jan 31, 2020",650.57,641.07,653,632.58,15.72M,1.52%
"Jan 30, 2020",640.81,631.88,650,618.18,29.01M,10.30%
"Jan 29, 2020",580.99,575.6,589.68,567.43,18.22M,2.49%
"Jan 28, 2020",566.9,568.3,576.44,558.13,11.79M,1.59%
"Jan 27, 2020",558.02,541.27,564.29,539.4,13.61M,-1.20%
"Jan 24, 2020",564.82,571.5,573,555,14.35M,-1.29%
"Jan 23, 2020",572.2,564.25,582,555.6,19.65M,0.46%
"Jan 22, 2020",569.56,571.89,594.5,559.1,31.37M,4.09%
"Jan 21, 2020",547.2,530.25,548.58,528.41,17.80M,7.19%
"Jan 17, 2020",510.5,507.61,515.67,503.16,13.63M,-0.58%
"Jan 16, 2020",513.49,493.75,514.46,492.17,21.74M,-0.97%
"Jan 15, 2020",518.5,529.76,537.84,516.79,17.37M,-3.61%
"Jan 14, 2020",537.92,544.25,547.41,524.9,29.06M,2.49%
"Jan 13, 2020",524.86,493.5,525.63,492,26.63M,9.77%
"Jan 10, 2020",478.15,481.79,484.94,473.7,12.98M,-0.66%
"Jan 09, 2020",481.34,497.1,498.8,472.87,28.46M,-2.19%
"Jan 08, 2020",492.14,473.7,498.49,468.23,31.20M,4.92%
"Jan 07, 2020",469.06,461.4,471.63,453.36,18.21M,3.88%
"Jan 06, 2020",451.54,440.47,451.56,440,10.16M,1.93%
"Jan 03, 2020",443.01,440.5,454,436.92,17.79M,2.96%
"Jan 02, 2020",430.26,424.5,430.7,421.71,9.56M,2.85%
"Dec 31, 2019",418.33,405,421.29,402.08,10.29M,0.88%
"Dec 30, 2019",414.7,428.79,429,409.26,12.60M,-3.64%
"Dec 27, 2019",430.38,435,435.31,426.11,9.96M,-0.13%
"Dec 26, 2019",430.94,427.91,433.48,426.35,10.65M,1.34%
"Dec 24, 2019",425.25,418.36,425.47,412.69,8.05M,1.44%
"Dec 23, 2019",419.22,411.78,422.01,410,13.33M,3.36%
"Dec 20, 2019",405.59,410.29,413,400.19,14.79M,0.38%
"Dec 19, 2019",404.04,397.32,406.85,396.5,18.12M,2.77%
"Dec 18, 2019",393.15,380.63,395.22,380.58,14.14M,3.74%
"Dec 17, 2019",378.99,378.99,385.5,375.9,8.50M,-0.66%
"Dec 16, 2019",381.5,362.55,383.61,362.5,18.22M,6.45%
"Dec 13, 2019",358.39,361.05,365.21,354.64,6.57M,-0.36%
"Dec 12, 2019",359.68,354.92,362.74,353.23,7.78M,1.98%
"Dec 11, 2019",352.7,351.88,357.19,351.09,6.92M,1.11%
"Dec 10, 2019",348.84,339.96,350.73,339.31,8.84M,2.74%
"Dec 09, 2019",339.53,336.59,344.45,335.08,9.04M,1.08%
"Dec 06, 2019",335.89,335,338.86,334.77,7.62M,1.67%
"Dec 05, 2019",330.37,332.83,334.42,327.25,3.74M,-0.80%
"Dec 04, 2019",333.03,337.75,337.86,332.85,5.54M,-0.94%
"Dec 03, 2019",336.2,332.62,337.91,332.19,6.61M,0.40%
"Dec 02, 2019",334.87,329.4,336.38,328.69,6.08M,1.49%
"Nov 29, 2019",329.94,331.11,331.26,327.5,2.47M,-0.41%
"Nov 27, 2019",331.29,331.12,333.93,328.57,5.56M,0.72%
"Nov 26, 2019",328.92,335.27,335.5,327.1,7.96M,-2.21%
"Nov 25, 2019",336.34,344.32,344.57,334.46,12.35M,0.99%
"Nov 22, 2019",333.04,340.16,341,330,16.87M,-6.14%
"Nov 21, 2019",354.83,354.51,360.84,354,6.11M,0.74%
"Nov 20, 2019",352.22,360,361.2,349.57,6.73M,-2.03%
"Nov 19, 2019",359.52,351.75,359.99,347.8,7.74M,2.72%
"Nov 18, 2019",349.99,352.92,353.15,346.1,4.41M,-0.62%
"Nov 15, 2019",352.17,350.64,352.8,348.36,4.81M,0.81%
"Nov 14, 2019",349.35,346.11,353.84,342.91,6.47M,0.94%
"Nov 13, 2019",346.11,355,356.33,345.18,8.47M,-1.09%
"Nov 12, 2019",349.93,346.9,350.37,344.04,7.36M,1.40%
"Nov 11, 2019",345.09,343.95,349.19,342,9.99M,2.36%
"Nov 08, 2019",337.14,334.5,337.46,332.5,6.07M,0.48%
"Nov 07, 2019",335.54,329.14,341.5,328.02,14.47M,2.74%
"Nov 06, 2019",326.58,318,326.72,314.5,7.94M,2.95%
"Nov 05, 2019",317.22,319.62,323.51,316.12,6.94M,-0.08%
"Nov 04, 2019",317.47,314.8,321.94,309.26,8.79M,1.33%
"Nov 01, 2019",313.31,316.32,316.48,309.8,6.38M,-0.51%
"Oct 31, 2019",314.92,313.1,319,313,5.07M,-0.03%
"Oct 30, 2019",315.01,313,318.79,309.97,9.64M,-0.38%
"Oct 29, 2019",316.22,319.99,324.3,314.75,12.68M,-3.51%
"Oct 28, 2019",327.71,327.54,340.84,322.6,18.87M,-0.13%
"Oct 25, 2019",328.13,297.72,330,296.11,30.01M,9.49%
"Oct 24, 2019",299.68,298.37,304.93,289.2,29.82M,17.67%
"Oct 23, 2019",254.68,254.5,256.14,251.35,11.22M,-0.35%
"Oct 22, 2019",255.58,254.32,258.33,250.85,4.63M,0.82%
"Oct 21, 2019",253.5,258.33,259.5,250.18,5.11M,-1.34%
"Oct 18, 2019",256.95,260.7,262.8,255.1,5.75M,-1.92%
